Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
Canada,CAN,289,51.133604,-114.57995,0.000534004,upstream oil
United States,USA,1940,32.203066,-103.402578,0.000533558,upstream oil
United States,USA,3177,35.786671,-97.949323,0.000533297,upstream oil
Russian Federation,RUS,6421,67.957186,55.466739,0.000533291,upstream oil
United States,USA,1703,31.800241,-103.629146,0.000532378,upstream oil
United States,USA,2267,32.071816,-102.265827,0.000532146,upstream oil
United States,USA,1573,31.722448,-103.750562,0.000531791,upstream oil
China,CHN,9620,40.470783,82.679354,0.000531151,upstream oil
United States,USA,4051,30.970954,-88.021033,0.000530849,refinery
Indonesia,IDN,12011,-6.833666,111.273957,0.000530776,upstream oil
United Arab Emirates,ARE,8337,24.80693,53.725576,0.000530418,upstream oil
United States,USA,3197,29.048891,-97.899196,0.000530327,upstream oil
Canada,CAN,1063,49.291966,-102.471478,0.000530238,upstream oil
United States,USA,2080,31.283663,-103.104219,0.000530233,upstream oil
United States,USA,2354,31.722426,-102.076087,0.000529572,upstream oil
United States,USA,410,43.707754,-105.71658,0.000529284,upstream oil
Indonesia,IDN,12069,-0.941564,117.077949,0.000529126,upstream oil
Norway,NOR,5113,60.77124,3.511908,0.000528586,upstream oil
Ukraine,UKR,6574,49.322673,35.021053,0.000528413,upstream oil
Canada,CAN,300,53.240703,-113.83513,0.00052824,upstream oil
Russian Federation,RUS,8679,71.154637,67.095723,0.000528128,upstream gas
Norway,NOR,5110,61.778983,2.830183,0.000528107,upstream oil
Russian Federation,RUS,12499,54.701301,155.829785,0.000527934,upstream gas
United States,USA,3418,30.378586,-96.772514,0.00052772,upstream oil
Oman,OMN,8588,21.432285,56.978002,0.000527632,upstream oil
Canada,CAN,260,54.434534,-116.130069,0.000527359,upstream oil
Saudi Arabia,SAU,7820,24.719178,49.236243,0.000527309,upstream oil
United States,USA,1153,35.902035,-119.954381,0.00052674,upstream oil
Russian Federation,RUS,8929,70.840614,74.245269,0.0005261,upstream gas
Russian Federation,RUS,8815,71.2463,72.042003,0.00052494,upstream oil
Jordan,JOR,7233,29.371491,34.967464,0.0005243,upstream oil
Uzbekistan,UZB,9944,38.481601,66.469925,0.000523869,upstream oil
United States,USA,360,40.204381,-110.507865,0.000523658,upstream oil
United States,USA,1740,31.445352,-103.604624,0.000522539,upstream oil
United States,USA,3023,28.706506,-98.750923,0.000522504,upstream oil
Canada,CAN,77,57.446123,-121.124301,0.000522061,upstream oil
United States,USA,2475,31.657404,-101.849481,0.000521852,upstream oil
India,IND,10721,23.745314,91.338879,0.000521494,upstream oil
Argentina,ARG,4609,-37.090759,-69.596886,0.000520975,upstream oil
Canada,CAN,66,56.559562,-121.65827,0.000520608,upstream oil
United States,USA,2215,31.932062,-102.636742,0.000520076,upstream oil
Argentina,ARG,4726,-37.991669,-67.828667,0.00051973,upstream oil
United States,USA,1669,31.109189,-103.651133,0.000519704,upstream oil
Pakistan,PAK,9987,28.647409,69.233258,0.00051966,upstream oil
Iraq,IRQ,7372,33.36728,43.829081,0.000519595,upstream oil
United States,USA,3237,29.065588,-97.787376,0.000519146,upstream oil
Russian Federation,RUS,9330,67.295552,79.123538,0.000519111,upstream oil
Indonesia,IDN,11951,-2.997517,104.84513,0.000518914,upstream oil
